""	"AQ1074"	"AQ1073"	"AQ967"
"New.0.CleanUp.ReferenceOTU125389"	4	9	0
"New.0.CleanUp.ReferenceOTU131470"	15	0	0
"New.0.CleanUp.ReferenceOTU135290"	0	1	0
"New.0.CleanUp.ReferenceOTU138349"	0	8	4
"New.0.CleanUp.ReferenceOTU139618"	6	0	0
"New.0.CleanUp.ReferenceOTU139868"	3	0	0
"New.0.CleanUp.ReferenceOTU145599"	0	2	0
"New.1.ReferenceOTU4"	12	2	3
"New.1.ReferenceOTU260"	7	16	19
"New.1.ReferenceOTU264"	17	0	4
"New.1.ReferenceOTU183"	52	229	0
"New.1.ReferenceOTU5"	27	0	0
"New.1.ReferenceOTU85"	0	1	1
"586093"	0	0	1
"604966"	0	0	5
"949863"	0	0	1
"692154"	0	0	3
"997439"	0	0	4
"679245"	0	0	17
