""	"AQ1332"	"AQ1438"	"AQ1281"
"New.0.CleanUp.ReferenceOTU16366"	127	0	0
"New.0.CleanUp.ReferenceOTU19193"	0	346	888
"New.0.CleanUp.ReferenceOTU22635"	0	0	30
"New.0.CleanUp.ReferenceOTU26719"	5	6	0
"New.0.CleanUp.ReferenceOTU29632"	3	0	0
"New.0.CleanUp.ReferenceOTU32266"	0	1	1
"New.0.CleanUp.ReferenceOTU34183"	6	1	0
"New.0.CleanUp.ReferenceOTU43340"	0	1	31
"New.0.CleanUp.ReferenceOTU50341"	0	0	36
"New.0.CleanUp.ReferenceOTU56051"	1	0	0
"New.0.CleanUp.ReferenceOTU75563"	0	1	0
"New.0.CleanUp.ReferenceOTU77786"	13	11	1
"New.0.CleanUp.ReferenceOTU102343"	0	0	1
"New.0.CleanUp.ReferenceOTU104626"	0	2	45
"New.0.CleanUp.ReferenceOTU108577"	4	27	9
"New.0.CleanUp.ReferenceOTU111110"	4	0	0
"New.0.CleanUp.ReferenceOTU111477"	0	0	32
"New.0.CleanUp.ReferenceOTU116380"	5	13	14
"New.0.CleanUp.ReferenceOTU121273"	10	4	0
"New.0.CleanUp.ReferenceOTU125389"	0	16	14
"New.0.CleanUp.ReferenceOTU127664"	0	0	1
"New.0.CleanUp.ReferenceOTU128014"	1	0	0
"New.0.CleanUp.ReferenceOTU131470"	0	30	0
"New.0.CleanUp.ReferenceOTU138349"	0	0	27
"New.1.ReferenceOTU4"	10	16	1
"New.1.ReferenceOTU260"	4	9	26
"New.1.ReferenceOTU264"	2	0	0
"New.1.ReferenceOTU183"	1	129	303
"New.1.ReferenceOTU5"	4	21	0
"New.1.ReferenceOTU214"	1	0	0
"604966"	1	0	0
"692154"	6	0	0
"997439"	2	0	0
"679245"	2	0	0
