""	"AQ190"	"AQ421"	"AQ733"	"AQ501"	"AQ707"	"AQ397"	"AQ605"	"AQ164"	"AQ112"	"AQ838"	"AQ812"	"AQ34"	"AQ681"	"AQ449"
"687940"	0	0	0	0	0	0	9	0	0	0	0	0	0	0
"590218"	3	0	0	0	1	0	0	0	0	0	0	0	1	0
"1068902"	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"1099802"	0	0	0	0	0	0	3	0	0	0	0	0	7	0
"579608"	0	0	0	0	0	0	35	0	0	0	0	0	0	0
"646549"	0	0	0	0	0	0	2	0	0	0	0	0	7	0
"902334"	0	0	0	0	0	0	0	6	0	0	0	22	0	0
"351979"	13	154	49	65	71	0	71	6	39	0	0	10	27	0
"351976"	989	49	0	0	15	0	0	859	366	0	0	123	0	0
"403068"	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"941487"	0	0	0	0	1	0	9	0	0	0	0	0	0	0
"688714"	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"503387"	0	0	0	0	0	0	2	0	0	0	0	0	1	0
"206826"	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"1040713"	0	0	2	0	0	0	0	0	0	0	0	0	1	0
"721526"	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"839235"	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"580411"	0	0	0	0	0	0	1	0	0	0	0	0	2	0
"9510"	354	6	8	465	2	0	1	611	1416	1	0	784	403	0
"156357"	0	0	0	0	1	0	0	1	4	0	0	2	2	0
"768553"	0	0	4	255	0	0	3	0	0	0	0	1	0	0
"814277"	0	0	0	0	0	0	11	0	0	0	0	0	0	0
"529652"	6	0	0	2	0	1	2	0	1	0	0	55	0	0
"992510"	5	0	182	0	0	0	6	1	1	0	83	1	8	0
"128390"	0	0	4	0	1	0	4	0	0	0	0	0	0	0
"933546"	1	0	1	0	1	0	6	0	0	0	0	0	0	0
"807369"	0	0	1	0	0	0	0	2	0	0	0	0	0	0
"1020605"	0	0	0	0	0	0	1	0	0	0	5	0	0	0
"176420"	1	0	0	0	0	0	0	0	0	1	0	1	0	0
"822419"	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"1075821"	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"889025"	0	0	77	0	1	0	12	0	0	0	0	0	0	1
"703741"	0	0	1	0	0	0	0	0	0	0	0	0	103	0
