""	"AQ190"	"AQ421"	"AQ733"	"AQ501"	"AQ707"	"AQ397"	"AQ605"	"AQ164"	"AQ112"	"AQ838"	"AQ812"	"AQ34"	"AQ681"	"AQ449"
"New.0.CleanUp.ReferenceOTU73319"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU74266"	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"New.0.CleanUp.ReferenceOTU75563"	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU77786"	0	0	18	0	0	0	0	0	0	0	12	0	0	0
"New.0.CleanUp.ReferenceOTU88650"	0	0	0	0	0	0	0	0	0	0	0	0	6	0
"New.0.CleanUp.ReferenceOTU92125"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU100929"	0	0	0	0	0	1	0	0	0	0	0	0	3	0
"New.0.CleanUp.ReferenceOTU102343"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU104626"	1	0	2	0	161	0	2	0	0	5	0	0	4	0
"New.0.CleanUp.ReferenceOTU107099"	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"New.0.CleanUp.ReferenceOTU108577"	13	0	0	0	0	0	0	0	0	5	0	0	0	0
"New.0.CleanUp.ReferenceOTU109902"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"New.0.CleanUp.ReferenceOTU111110"	0	0	7	0	0	0	0	0	0	6	20	0	55	0
"New.0.CleanUp.ReferenceOTU111477"	1	0	1	0	123	0	2	0	0	11	0	0	3	0
"New.0.CleanUp.ReferenceOTU116380"	7	0	0	0	2	0	0	0	0	14	0	0	0	0
"New.0.CleanUp.ReferenceOTU116408"	2	0	1	0	0	0	0	0	0	0	1	0	0	0
"New.0.CleanUp.ReferenceOTU119987"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU121273"	0	0	17	0	0	0	0	0	0	0	8	0	0	0
"New.0.CleanUp.ReferenceOTU121721"	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU121922"	0	0	0	0	1	0	0	0	0	0	0	0	4	0
"New.0.CleanUp.ReferenceOTU125389"	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU125682"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU132519"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU134906"	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU138349"	0	0	1	0	22	0	3	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU139618"	6	0	7	0	0	0	0	0	0	0	4	0	6	0
"New.0.CleanUp.ReferenceOTU139868"	0	0	0	0	0	0	0	0	0	23	0	0	3	0
"New.0.CleanUp.ReferenceOTU143240"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"New.0.CleanUp.ReferenceOTU145599"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.1.ReferenceOTU4"	0	0	20	0	0	0	0	0	0	0	4	0	2	0
"New.1.ReferenceOTU260"	41	0	1	0	0	0	0	0	0	6	0	0	3	0
"New.1.ReferenceOTU264"	16	0	5	0	0	0	0	0	0	2	15	0	3	0
"New.1.ReferenceOTU279"	0	0	0	0	0	0	0	0	0	0	0	0	4	0
"New.1.ReferenceOTU183"	8	0	2	0	0	1	0	0	0	1	0	0	0	0
"New.1.ReferenceOTU144"	0	0	1	0	0	0	0	0	0	0	7	0	0	0
"New.1.ReferenceOTU5"	0	0	25	0	0	0	0	0	0	0	9	0	0	0
"New.1.ReferenceOTU85"	0	0	6	0	0	0	0	0	0	0	1	0	3	0
"New.1.ReferenceOTU214"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.1.ReferenceOTU136"	0	0	0	0	0	0	0	0	0	0	6	0	1	0
"New.1.ReferenceOTU94"	0	0	0	0	0	0	0	0	0	0	5	0	0	0
"New.1.CleanUp.ReferenceOTU18348"	0	0	0	0	0	0	379	0	0	0	0	0	0	0
"New.1.CleanUp.ReferenceOTU26526"	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"New.3.ReferenceOTU478"	0	0	0	0	0	0	13	0	0	0	0	0	0	0
"New.3.ReferenceOTU285"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.3.ReferenceOTU105"	0	0	0	0	2	0	37	0	0	0	0	0	0	0
"New.3.ReferenceOTU59"	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"586093"	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"604966"	0	0	0	0	0	0	0	0	0	0	0	0	7	0
"949863"	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"692154"	0	0	0	0	0	0	0	0	0	0	0	0	18	0
"997439"	0	0	0	0	0	0	0	0	0	21	0	0	10	0
"679245"	0	0	0	0	0	0	0	0	0	0	0	0	118	0
